episode_id,object_type,episode_dir,task,num_actions,duration_s,source,shoulder_pan_major_rev,shoulder_pan_range,shoulder_pan_rev_per_step,shoulder_pan_mean_speed,shoulder_pan_peak_speed,shoulder_pan_fast_rev,shoulder_lift_major_rev,shoulder_lift_range,shoulder_lift_rev_per_step,shoulder_lift_mean_speed,shoulder_lift_peak_speed,shoulder_lift_fast_rev,elbow_flex_major_rev,elbow_flex_range,elbow_flex_rev_per_step,elbow_flex_mean_speed,elbow_flex_peak_speed,elbow_flex_fast_rev,wrist_flex_major_rev,wrist_flex_range,wrist_flex_rev_per_step,wrist_flex_mean_speed,wrist_flex_peak_speed,wrist_flex_fast_rev,total_major_rev,max_range,max_rev_per_step,oscillating_joints,n_oscillating_joints,oscillation_class,max_mean_speed,max_peak_speed,max_fast_rev,high_velocity,high_peak,review_flag,review_reason
box__081_box,box,081_box,put the box on the tray,500,17.994,commanded,2,46.6,0.004,0.347,4.47,3,7,148.8,0.014,0.914,9.93,14,10,155.6,0.02,1.011,20.86,13,7,44.6,0.014,0.508,8.02,6,26,155.6,0.02,elbow_flex,1,oscillation,1.011,20.86,14,False,False,False,
box__118_box,box,118_box,put the box on the tray,420,15.353,commanded,2,45.0,0.0048,0.338,5.45,2,7,133.6,0.0167,1.168,19.58,9,8,134.7,0.0191,0.986,15.66,10,2,38.3,0.0048,0.441,7.12,4,19,134.7,0.0191,,0,normal,1.168,19.58,10,False,False,False,
brown__013_brown,brown,013_brown,put the brown cylinder on the tray,642,22.01,commanded,4,50.2,0.0062,0.599,33.95,16,18,156.2,0.0281,2.041,92.91,20,22,156.2,0.0343,2.145,98.58,19,9,42.8,0.014,0.752,25.5,15,53,156.2,0.0343,shoulder_lift;elbow_flex,2,oscillation,2.145,98.58,20,False,False,False,
brown__014_brown,brown,014_brown,put the brown cylinder on the tray,108,3.914,commanded,0,1.3,0.0,0.102,0.66,0,0,2.1,0.0,0.26,1.17,0,0,2.2,0.0,0.272,1.32,0,0,0.9,0.0,0.097,0.35,0,0,2.2,0.0,,0,zero_movement,0.272,1.32,0,False,False,False,
brown__029_brown,brown,029_brown,put the brown object in the box,111,5.451,commanded,0,1.5,0.0,0.103,0.55,0,0,1.7,0.0,0.281,1.09,0,0,2.0,0.0,0.279,0.98,0,0,2.0,0.0,0.098,1.17,0,0,2.0,0.0,,0,zero_movement,0.281,1.17,0,False,False,False,
brown__030_brown,brown,030_brown,put the brown object in the box,191,8.127,commanded,0,1.4,0.0,0.132,0.48,0,0,1.8,0.0,0.346,1.43,0,0,2.5,0.0,0.337,1.83,0,0,1.8,0.0,0.112,0.43,0,0,2.5,0.0,,0,zero_movement,0.346,1.83,0,False,False,False,
brown__042_brown,brown,042_brown,put the brown pouch on the tray,148,6.461,commanded,0,1.6,0.0,0.141,0.55,0,0,2.3,0.0,0.355,1.05,0,0,2.3,0.0,0.388,1.58,0,0,1.4,0.0,0.119,0.82,0,0,2.3,0.0,,0,zero_movement,0.388,1.58,0,False,False,False,
brown__044_brown,brown,044_brown,put the brown pouch on the tray,168,5.251,commanded,0,2.0,0.0,0.133,0.65,0,0,2.2,0.0,0.349,1.34,0,0,2.9,0.0,0.367,1.43,0,0,1.2,0.0,0.103,0.7,0,0,2.9,0.0,,0,zero_movement,0.367,1.43,0,False,False,False,
brown__053_brown,brown,053_brown,put the brown pouch on the tray,105,5.118,commanded,0,1.1,0.0,0.123,0.63,0,0,1.8,0.0,0.321,1.2,0,0,1.3,0.0,0.291,0.99,0,0,1.3,0.0,0.102,0.78,0,0,1.8,0.0,,0,zero_movement,0.321,1.2,0,False,False,False,
brown__055_brown,brown,055_brown,put the brown pouch on the tray,105,5.12,commanded,0,1.9,0.0,0.138,1.23,0,0,1.7,0.0,0.257,0.93,0,0,1.7,0.0,0.303,0.97,0,0,1.2,0.0,0.085,0.31,0,0,1.9,0.0,,0,zero_movement,0.303,1.23,0,False,False,False,
brown__077_brown,brown,077_brown,put the brown pouch on the tray,740,26.625,commanded,3,58.9,0.0041,0.378,8.59,11,9,141.4,0.0122,0.93,25.59,18,8,134.0,0.0108,1.001,23.87,19,5,44.9,0.0068,0.557,17.38,12,25,141.4,0.0122,,0,normal,1.001,25.59,19,False,False,False,
brown__082_brown,brown,082_brown,put the brown pouch on the tray,435,15.119,commanded,0,10.8,0.0,0.238,7.56,1,3,163.7,0.0069,1.02,20.82,11,8,158.4,0.0184,1.008,34.58,10,3,48.3,0.0069,0.48,13.71,7,14,163.7,0.0184,,0,normal,1.02,34.58,11,False,False,False,
brown__083_brown,brown,083_brown,put the brown pouch on the tray,510,18.869,commanded,2,47.0,0.0039,0.334,9.86,6,8,142.9,0.0157,0.886,10.91,11,9,150.4,0.0177,0.859,15.15,9,4,41.6,0.0079,0.487,11.35,4,23,150.4,0.0177,,0,normal,0.886,15.15,11,False,False,False,
brown__089_brown,brown,089_brown,put the brown pouch on the tray,582,21.956,commanded,2,46.0,0.0034,0.318,15.91,2,10,125.4,0.0172,1.712,103.83,15,13,118.3,0.0224,1.492,70.02,15,5,44.3,0.0086,0.713,28.68,10,30,125.4,0.0224,elbow_flex,1,oscillation,1.712,103.83,15,False,True,False,
brown__090_brown,brown,090_brown,put the brown pouch on the tray,114,4.649,commanded,0,0.7,0.0,0.121,0.42,0,0,1.5,0.0,0.271,1.1,0,0,1.9,0.0,0.331,1.03,0,0,0.8,0.0,0.107,0.52,0,0,1.9,0.0,,0,zero_movement,0.331,1.1,0,False,False,False,
brown__160_brown,brown,160_brown,put the brown object on the tray,103,5.756,commanded,0,0.8,0.0,0.117,0.57,0,0,1.5,0.0,0.306,0.95,0,0,1.8,0.0,0.31,0.95,0,0,1.1,0.0,0.102,0.36,0,0,1.8,0.0,,0,zero_movement,0.31,0.95,0,False,False,False,
brown__173_brown,brown,173_brown,put the brown plush toy on the tray,103,5.151,commanded,0,1.3,0.0,0.118,0.53,0,0,2.0,0.0,0.357,1.0,0,0,2.2,0.0,0.371,1.56,0,0,2.4,0.0,0.122,0.58,0,0,2.4,0.0,,0,zero_movement,0.371,1.56,0,False,False,False,
brown__174_brown,brown,174_brown,put the brown cylindrical object on the tray,106,5.084,commanded,0,1.1,0.0,0.145,0.41,0,0,1.8,0.0,0.338,1.39,0,0,1.6,0.0,0.267,0.88,0,0,1.5,0.0,0.118,0.39,0,0,1.8,0.0,,0,zero_movement,0.338,1.39,0,False,False,False,
